nodeID,nodeUserID,nodeTime,actionType,videoID,platform
7646502|1642004215913116,7646502,2018-04-23 00:43:33,post,yaZRZo9FGQI,facebook
8550555|1816662938384711,8550555,2018-04-23 00:59:12,post,lKiiKtEcx9Q,facebook
10973660|2030868463797790,10973660,2018-04-23 01:19:21,post,DCu8mNC1JyE,facebook
10143343|1669207823194450,10143343,2018-04-23 01:19:33,post,DCu8mNC1JyE,facebook
9752604|326242407900276,9752604,2018-04-23 01:24:43,post,DCu8mNC1JyE,facebook
7845763|2034424930129428,7845763,2018-04-23 01:45:15,post,DCu8mNC1JyE,facebook
10827827|883019155217524,10827827,2018-04-23 02:55:33,post,n6OhFiiI0a8,facebook
2508798|850327525160841,2508798,2018-04-23 02:58:50,post,DCu8mNC1JyE,facebook
8296497|2153300891351812,8296497,2018-04-23 03:57:57,post,8aAaReVn2I4,facebook
8999959|886545578189085,8999959,2018-04-23 05:21:18,post,0Wh1ppnkSag,facebook
841960|2141559039195414,841960,2018-04-23 05:37:40,post,DCu8mNC1JyE,facebook
2577666|1623700144392947,2577666,2018-04-23 07:53:02,post,DCu8mNC1JyE,facebook
8117952|10160185156120307,8117952,2018-04-23 09:22:24,post,bQUoGSzVbVU,facebook
8993151|1677916508964858,8993151,2018-04-23 09:23:51,post,bQUoGSzVbVU,facebook
19209864|574777266222507,19209864,2018-04-23 09:32:44,post,DCu8mNC1JyE,facebook
1966996|1832901340349156,1966996,2018-04-23 10:37:40,post,8xepXc4fw0U,facebook
8390831|2037082159867372,8390831,2018-04-23 12:13:10,post,DCu8mNC1JyE,facebook
8994910|1930074963731632,8994910,2018-04-23 14:27:42,post,DCu8mNC1JyE,facebook
295783|2124027824496721,295783,2018-04-23 14:44:28,post,DCu8mNC1JyE,facebook
7642784|10157349098146982,7642784,2018-04-23 15:13:34,post,DCu8mNC1JyE,facebook
10913385|1607725506000708,10913385,2018-04-23 15:15:46,post,JI7DZ6VtOCA,facebook
8994910|1930154260390369,8994910,2018-04-23 15:42:20,post,Ca-_YRiRsBk,facebook
15534384|691678677889796,15534384,2018-04-23 16:27:57,post,DCu8mNC1JyE,facebook
